"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\rkall\OneDrive\Documents\Personal\HRI Paper\Original\Trustv5.nlogo"
"Sweep_Reliability"
"02/23/2026 10:13:00:328 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","robot-reliability","num-humans","num-robots","initial-tasks","initial-trust","robot-autonomy","robot-transparency","robot-comm-frequency","collaboration-rate","[step]","average-trust","total-tasks-completed","team-efficiency","get-average-stress","get-task-success-rate","communication-events","get-robot-utilization"
"4","45","3","3","30","50","70","50","50","50","2000","47.378218443277895","69","83.33333333333334","66.66666666666667","62.16216216216216","977","100"
"3","40","3","3","30","50","70","50","50","50","2000","52.33567006043051","80","100","83.33333333333333","64.51612903225806","923","100"
"9","70","3","3","30","50","70","50","50","50","2000","82.88065138456258","100","100","67.83663280236124","78.74015748031496","670","100"
"6","55","3","3","30","50","70","50","50","50","2000","64.40145773504518","73","100","66.66666666666667","64.60176991150442","1080","100"
"7","60","3","3","30","50","70","50","50","50","2000","77.20937659237988","84","100","50","75.67567567567568","1403","100"
"2","35","3","3","30","50","70","50","50","50","2000","55.78585139078293","73","100","59.02779861097128","61.34453781512605","1066","100"
"8","65","3","3","30","50","70","50","50","50","2000","77.1423142258523","101","100","66.66666666666667","81.45161290322581","1254","100"
"1","30","3","3","30","50","70","50","50","50","2000","49.459467724811056","68","100","83.33333333333333","65.38461538461539","1140","100"
"5","50","3","3","30","50","70","50","50","50","2000","60.720734029564944","82","100","83.33333333333333","73.21428571428571","858","100"
"10","75","3","3","30","50","70","50","50","50","2000","82.91605310180903","114","100","66.66666666666667","89.76377952755905","1067","100"
"13","90","3","3","30","50","70","50","50","50","2000","94.9894390638329","104","100","83.33333333333333","91.22807017543859","1096","100"
"11","80","3","3","30","50","70","50","50","50","2000","88.34906188793134","112","100","83.33333333333333","87.5","932","100"
"12","85","3","3","30","50","70","50","50","50","2000","98.73960679699574","114","100","66.66666666666667","94.21487603305785","748","100"
"14","95","3","3","30","50","70","50","50","50","2000","99.71909628515813","118","100","66.66666666666667","96.72131147540983","1101","100"
"17","35","3","3","30","50","70","50","50","50","2000","41.709556053983135","68","100","83.73983739837398","60.17699115044248","1015","100"
"15","100","3","3","30","50","70","50","50","50","2000","100","138","100","51.493039910552305","100","779","100"
"16","30","3","3","30","50","70","50","50","50","2000","48.71406448872367","51","100","50","51.515151515151516","1451","100"
"19","45","3","3","30","50","70","50","50","50","2000","55.85221452280185","75","100","74.25068119942192","66.96428571428571","1385","100"
"18","40","3","3","30","50","70","50","50","50","2000","60.60616497879591","86","100","88.17966903073285","66.66666666666666","1010","100"
"20","50","3","3","30","50","70","50","50","50","2000","80.92721594158411","95","100","90.58380398239144","79.16666666666666","1248","100"
"21","55","3","3","30","50","70","50","50","50","2000","59.359868770803956","84","100","73.07692308962515","75.67567567567568","984","100"
"22","60","3","3","30","50","70","50","50","50","2000","70.7999134338375","94","66.66666666666666","83.33333333333333","80.34188034188034","1014","100"
"24","70","3","3","30","50","70","50","50","50","2000","72.64269359168043","83","100","100","76.14678899082568","685","100"
"23","65","3","3","30","50","70","50","50","50","2000","76.35267278812707","103","100","58.8235294117647","79.84496124031007","740","100"
"25","75","3","3","30","50","70","50","50","50","2000","91.61510252834039","99","100","83.33333333333333","84.61538461538461","1533","100"
"27","85","3","3","30","50","70","50","50","50","2000","90.63069768864078","115","100","71.07615076442343","88.46153846153845","529","100"
"26","80","3","3","30","50","70","50","50","50","2000","90.9414112903725","98","100","83.33333333333333","89.90825688073394","894","100"
"29","95","3","3","30","50","70","50","50","50","2000","97.23827977816903","120","83.33333333333334","83.33333333333333","98.36065573770492","596","100"
"28","90","3","3","30","50","70","50","50","50","2000","96.8789707316002","117","100","66.1512027491409","94.35483870967742","1469","100"
