"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\rkall\OneDrive\Documents\Personal\HRI Paper\Original\Trustv5.nlogo"
"Sweep_Reliability_x_Transparency"
"02/22/2026 23:56:19:480 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","robot-reliability","robot-transparency","num-humans","num-robots","initial-tasks","initial-trust","robot-autonomy","robot-comm-frequency","collaboration-rate","[step]","average-trust","total-tasks-completed","team-efficiency","get-average-stress","get-task-success-rate","communication-events","get-robot-utilization"
"6","40","30","3","3","30","50","70","50","50","2000","43.56036648419757","98","100","65.01831501831502","72.05882352941177","1178","100"
"2","55","10","3","3","30","50","70","50","50","2000","59.69122087969841","107","100","85.2507374631546","82.94573643410853","931","100"
"1","40","10","3","3","30","50","70","50","50","2000","35.592673977415835","66","83.33333333333334","66.66666666666667","57.89473684210527","1224","100"
"9","85","30","3","3","30","50","70","50","50","2000","97.01842942457591","97","100","66.66666666666667","94.1747572815534","1092","100"
"5","100","10","3","3","30","50","70","50","50","2000","100","122","100","77.13032581453632","100","787","100"
"8","70","30","3","3","30","50","70","50","50","2000","75.48818848088224","78","100","83.33333333333333","80.41237113402062","1208","100"
"3","70","10","3","3","30","50","70","50","50","2000","78.53786180444969","80","100","83.33333333333333","80.8080808080808","1010","100"
"4","85","10","3","3","30","50","70","50","50","2000","90.06502053237487","106","100","50","92.98245614035088","995","100"
"7","55","30","3","3","30","50","70","50","50","2000","59.09993475261019","82","100","50","73.87387387387388","1118","100"
"13","70","50","3","3","30","50","70","50","50","2000","84.10601946167886","91","100","62.5","74.59016393442623","1024","100"
"11","40","50","3","3","30","50","70","50","50","2000","47.876804847610686","94","100","69.94645247657296","70.1492537313433","713","100"
"12","55","50","3","3","30","50","70","50","50","2000","77.82690307466483","80","100","83.33333333333333","72.07207207207207","972","100"
"10","100","30","3","3","30","50","70","50","50","2000","100","107","100","66.66666666666667","100","1432","100"
"15","100","50","3","3","30","50","70","50","50","2000","100","124","100","88.4346124947876","100","1122","100"
"14","85","50","3","3","30","50","70","50","50","2000","93.01040772518236","110","100","91.0085308527709","96.49122807017544","1038","100"
"16","40","70","3","3","30","50","70","50","50","2000","58.1543710748378","78","100","73.50049250263912","67.82608695652173","1112","100"
"18","70","70","3","3","30","50","70","50","50","2000","94.37382422556522","104","100","74.36178607585775","81.25","765","100"
"17","55","70","3","3","30","50","70","50","50","2000","68.16983464989235","82","100","73.75478927203072","73.87387387387388","1507","100"
"20","100","70","3","3","30","50","70","50","50","2000","100","94","100","83.33333333333333","100","1427","100"
"19","85","70","3","3","30","50","70","50","50","2000","89.4296570287961","119","100","83.33333333333333","90.15151515151516","1167","100"
"21","40","90","3","3","30","50","70","50","50","2000","58.53898745110421","81","100","83.33333333333333","69.82758620689656","1252","100"
"23","70","90","3","3","30","50","70","50","50","2000","93.31609206558022","90","100","91.59816474974274","80.35714285714286","1301","100"
"22","55","90","3","3","30","50","70","50","50","2000","84.55946126833392","74","100","83.33333333333333","72.54901960784314","1129","100"
"24","85","90","3","3","30","50","70","50","50","2000","94.89511036288603","93","100","83.33333333333333","87.73584905660378","1404","100"
"25","100","90","3","3","30","50","70","50","50","2000","100","119","100","100","100","1299","100"
"26","40","10","3","3","30","50","70","50","50","2000","38.35867119004515","100","100","48.41567644204309","75.18796992481202","779","100"
"27","55","10","3","3","30","50","70","50","50","2000","56.96451903474008","100","100","69.55922865013727","69.93006993006993","782","100"
"30","100","10","3","3","30","50","70","50","50","2000","100","137","100","54.35424026771753","100","865","100"
"29","85","10","3","3","30","50","70","50","50","2000","90.78119026984508","98","100","89.07083932097464","95.14563106796116","969","100"
"28","70","10","3","3","30","50","70","50","50","2000","76.87099941343719","73","100","66.66666666666667","81.11111111111111","1001","100"
"31","40","30","3","3","30","50","70","50","50","2000","46.39153809900597","74","100","83.33333333333333","63.24786324786324","1049","100"
"32","55","30","3","3","30","50","70","50","50","2000","71.22502736833626","94","100","66.66666666666667","73.4375","935","100"
"35","100","30","3","3","30","50","70","50","50","2000","100","121","100","66.66666666666667","100","943","100"
"34","85","30","3","3","30","50","70","50","50","2000","92.80635001510979","108","100","68.96551725620301","91.52542372881356","750","100"
"36","40","50","3","3","30","50","70","50","50","2000","48.71457116780889","82","100","66.66666666666667","66.12903225806451","813","100"
"33","70","30","3","3","30","50","70","50","50","2000","79.95714535027629","98","100","83.33333333333333","85.21739130434783","930","100"
"38","70","50","3","3","30","50","70","50","50","2000","79.8707267257298","86","83.33333333333334","100","83.49514563106796","1155","100"
"37","55","50","3","3","30","50","70","50","50","2000","63.84335355106418","85","100","83.33333333333333","75.22123893805309","1168","100"
"40","100","50","3","3","30","50","70","50","50","2000","100","133","100","61.31936867964665","100","341","100"
"41","40","70","3","3","30","50","70","50","50","2000","57.60355194114373","69","100","50","61.60714285714286","961","100"
"43","70","70","3","3","30","50","70","50","50","2000","79.05521103062027","101","100","72.1476510067114","81.45161290322581","945","100"
"44","85","70","3","3","30","50","70","50","50","2000","91.04798664188978","84","100","50","92.3076923076923","1117","100"
"42","55","70","3","3","30","50","70","50","50","2000","66.98809411407262","73","100","83.33333333333333","68.22429906542055","1121","100"
"39","85","50","3","3","30","50","70","50","50","2000","96.64786848031171","117","100","68.58407079646018","87.31343283582089","1063","100"
"45","100","70","3","3","30","50","70","50","50","2000","100","96","100","50","100","1129","100"
"46","40","90","3","3","30","50","70","50","50","2000","68.29283764370763","87","100","66.66666666666667","66.41221374045801","1202","100"
"47","55","90","3","3","30","50","70","50","50","2000","84.14459091016226","92","100","100","75.40983606557377","1103","100"
"48","70","90","3","3","30","50","70","50","50","2000","99.403","100","100","50","81.9672131147541","1226","100"
"49","85","90","3","3","30","50","70","50","50","2000","99.7015","100","100","77.75217482512392","84.7457627118644","1194","100"
"52","55","10","3","3","30","50","70","50","50","2000","49.009596400049155","102","100","73.34845003512483","76.11940298507463","877","100"
"53","70","10","3","3","30","50","70","50","50","2000","67.01971139460262","110","83.33333333333334","64.1099837285613","87.3015873015873","710","66.66666666666666"
"51","40","10","3","3","30","50","70","50","50","2000","35.983400100214716","91","100","57.00483091784967","63.63636363636363","883","100"
"50","100","90","3","3","30","50","70","50","50","2000","100","134","100","87.56218905472637","100","689","100"
"54","85","10","3","3","30","50","70","50","50","2000","89.5998994168519","115","100","59.52380952380952","92.74193548387096","1241","100"
"55","100","10","3","3","30","50","70","50","50","2000","100","107","100","50","100","1286","100"
"57","55","30","3","3","30","50","70","50","50","2000","59.19377793027769","89","100","75.64351272960636","74.78991596638656","1120","100"
"56","40","30","3","3","30","50","70","50","50","2000","37.522014124525505","62","83.33333333333334","66.66666666666667","56.36363636363636","1230","66.66666666666666"
"58","70","30","3","3","30","50","70","50","50","2000","75.99493330797948","115","100","74.05131809646456","85.82089552238806","1115","100"
"59","85","30","3","3","30","50","70","50","50","2000","91.12855658041991","106","100","50","91.37931034482759","1067","100"
"60","100","30","3","3","30","50","70","50","50","2000","100","114","100","83.33333333333333","100","800","100"
"61","40","50","3","3","30","50","70","50","50","2000","51.78882892988829","61","100","66.66666666666667","58.0952380952381","1385","100"
