"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Trustv7.nlogo"
"Sweep_Reliability_x_Transparency"
"03/01/2026 12:45:59:211 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","robot-reliability","robot-transparency","num-humans","num-robots","initial-tasks","initial-trust","robot-autonomy","robot-comm-frequency","collaboration-rate","delegation-sensitivity","max-ticks","[step]","average-trust","total-tasks-completed","team-efficiency","get-average-stress","get-task-success-rate","get-delegation-rate","get-human-idle-rate","get-mean-kalman-gain","get-mean-trust-covariance","get-misallocation-rate","get-judgment-failure-rate"
"3","70","10","3","3","30","50","70","50","50","0.5","2000","2000","69.6485332911256","79","100","53.030303095136446","73.14814814814815","14.583333333333334","33.33333333333333","0.27184087287601094","3.7411513793984716","28.57142857142857","650"
"7","55","30","3","3","30","50","70","50","50","0.5","2000","2000","54.79628277039003","81","100","36.36363636363637","69.23076923076923","5.263157894736842","33.33333333333333","0.25141941027425396","3.3636519290574074","33.33333333333333","1900"
"8","70","30","3","3","30","50","70","50","50","0.5","2000","2000","71.70046347389282","85","66.66666666666666","36.36363636363637","76.57657657657657","22.58064516129032","33.33333333333333","0.2530403219928378","3.3934043686110766","14.285714285714285","1500"
"9","85","30","3","3","30","50","70","50","50","0.5","2000","2000","85.06776885796171","86","83.33333333333334","56.249999864341014","81.13207547169812","9.803921568627452","0","0.26380017399893513","3.5832735511824865","20","1800"
"1","40","10","3","3","30","50","70","50","50","0.5","2000","2000","39.26622286402754","74","100","73.67149758454117","64.34782608695652","1.8181818181818181","0","0.28777702424359364","4.04105873765528","100","2200"
"6","40","30","3","3","30","50","70","50","50","0.5","2000","2000","39.31010498028559","72","100","100","64.86486486486487","3.8461538461538463","0","0.26822021507544663","3.665527846866239","0","0"
"2","55","10","3","3","30","50","70","50","50","0.5","2000","2000","54.99970692310271","71","100","72.03389830663059","68.26923076923077","7.6923076923076925","0","0.28303059534747604","3.9480177528919413","75","633.3333333333333"
"5","100","10","3","3","30","50","70","50","50","0.5","2000","2000","100","81","100","50","81","12.195121951219512","0","0.28427122414313466","3.9719806496786227","0","0"
"4","85","10","3","3","30","50","70","50","50","0.5","2000","2000","85.00495928305553","91","83.33333333333334","36.36363636363637","82.72727272727273","11.904761904761903","33.33333333333333","0.2705645306385891","3.716247124209467","0","0"
"10","100","30","3","3","30","50","70","50","50","0.5","2000","2000","100","86","100","100","76.10619469026548","12.5","0","0.2702466701126199","3.7032605271472483","33.33333333333333","1100"
"12","55","50","3","3","30","50","70","50","50","0.5","2000","2000","56.60926676739518","70","100","71.75925925925925","66.66666666666666","9.803921568627452","0","0.24943343739725599","3.3236570512829373","0","0"
"13","70","50","3","3","30","50","70","50","50","0.5","2000","2000","71.65679995273099","89","100","66.66666666666667","82.4074074074074","18.75","0","0.2355104110157691","3.0845918495596716","0","0"
"11","40","50","3","3","30","50","70","50","50","0.5","2000","2000","40.41565753700806","70","100","66.91297208538587","61.94690265486725","3.571428571428571","0","0.24790325528967483","3.2982346964077736","0","0"
"14","85","50","3","3","30","50","70","50","50","0.5","2000","2000","87.11717472650213","91","83.33333333333334","75.81107814045502","83.4862385321101","8.16326530612245","33.33333333333333","0.24427381732611989","3.233658151810173","50","750"
"15","100","50","3","3","30","50","70","50","50","0.5","2000","2000","100","109","100","72.54584681772131","90.08264462809917","8.771929824561402","0","0.250050106934604","3.334503424794342","40","400"
"18","70","70","3","3","30","50","70","50","50","0.5","2000","2000","70.76385430684299","85","100","83.33333333333333","73.91304347826086","6","0","0.24109166110296654","3.177040822753272","0","0"
"17","55","70","3","3","30","50","70","50","50","0.5","2000","2000","54.91113913129936","91","100","76.51597407297733","69.46564885496184","0","0","0.23663454047324292","3.100441721679181","0","0"
"16","40","70","3","3","30","50","70","50","50","0.5","2000","2000","40.036174597499446","79","100","77.47407285398235","59.3984962406015","3.1746031746031744","0","0.23333861609858175","3.0437103354808532","0","0"
"19","85","70","3","3","30","50","70","50","50","0.5","2000","2000","86.14206628673462","104","100","100","85.24590163934425","1.7857142857142856","0","0.2370944288145059","3.1083236655510915","0","0"
"20","100","70","3","3","30","50","70","50","50","0.5","2000","2000","100","111","100","54.04040404040412","88.09523809523809","10.909090909090908","0","0.234920344529866","3.0706772408485903","33.33333333333333","500"
"21","40","90","3","3","30","50","70","50","50","0.5","2000","2000","38.64480285819934","79","100","66.66666666666667","65.28925619834712","1.6129032258064515","0","0.23260560575351405","3.0313286391094785","0","0"
"22","55","90","3","3","30","50","70","50","50","0.5","2000","2000","55.692717528384605","88","100","73.0736402546869","71.54471544715447","7.142857142857142","0","0.2360325832662542","3.089610270145354","0","0"
