"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Trustv7.nlogo"
"TimeSeries_Baseline"
"03/01/2026 12:59:33:523 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-humans","num-robots","initial-tasks","initial-trust","robot-reliability","robot-autonomy","robot-transparency","robot-comm-frequency","collaboration-rate","delegation-sensitivity","max-ticks","[step]","average-trust","total-tasks-completed","team-efficiency","get-average-stress","get-task-success-rate","get-delegation-rate","get-human-idle-rate","get-monitoring-stress","get-active-stress","get-mean-kalman-gain","get-mean-trust-covariance"
"1","3","3","30","50","90","70","50","50","50","0.5","2000","0","50","0","0","17","0","0","0","0","0","0.7142857142857143","25"
"4","3","3","30","50","90","70","50","50","50","0.5","2000","0","50","0","0","18.333333333333332","0","0","0","0","0","0.7142857142857143","25"
"2","3","3","30","50","90","70","50","50","50","0.5","2000","0","50","0","0","18.333333333333332","0","0","0","0","0","0.7142857142857143","25"
"8","3","3","30","50","90","70","50","50","50","0.5","2000","0","50","0","0","20.333333333333332","0","0","0","0","0","0.7142857142857143","25"
"3","3","3","30","50","90","70","50","50","50","0.5","2000","0","50","0","0","8.666666666666666","0","0","0","0","0","0.7142857142857143","25"
"9","3","3","30","50","90","70","50","50","50","0.5","2000","0","50","0","0","16.333333333333332","0","0","0","0","0","0.7142857142857143","25"
"7","3","3","30","50","90","70","50","50","50","0.5","2000","0","50","0","0","12.666666666666666","0","0","0","0","0","0.7142857142857143","25"
"6","3","3","30","50","90","70","50","50","50","0.5","2000","0","50","0","0","13.666666666666666","0","0","0","0","0","0.7142857142857143","25"
"5","3","3","30","50","90","70","50","50","50","0.5","2000","0","50","0","0","13.666666666666666","0","0","0","0","0","0.7142857142857143","25"
"9","3","3","30","50","90","70","50","50","50","0.5","2000","20","89.35634922204429","0","100","10.714282138745519","0","0","0","0","10.714282138745519","0.22561306191854977","2.9162947626434508"
"7","3","3","30","50","90","70","50","50","50","0.5","2000","20","63.28782256601486","0","66.66666666666666","11.111121283600369","0","0","0","0","33.33333333322298","0.5483701670768552","17.587959463377835"
"8","3","3","30","50","90","70","50","50","50","0.5","2000","20","63.59140185042042","0","100","52.218293716397376","0","0","0","0","52.218293716397376","0.5555955703897559","17.709022760000583"
"2","3","3","30","50","90","70","50","50","50","0.5","2000","20","89.91442399341368","0","100","45.61087061095418","0","0","0","0","45.61087061095418","0.23331621268528743","3.0439526750471884"
"3","3","3","30","50","90","70","50","50","50","0.5","2000","20","76.51805557036498","0","100","40.68718905774001","0","0","0","0","40.68718905774001","0.39482330788541115","10.383327504516613"
"5","3","3","30","50","90","70","50","50","50","0.5","2000","20","89.85293158770504","0","100","26.713947543103586","0","0","0","0","26.713947543103586","0.23592333858147094","3.093110354312786"
"4","3","3","30","50","90","70","50","50","50","0.5","2000","20","89.55935269663131","0","100","40.1197604790412","0","0","0","0","40.1197604790412","0.2328949860926199","3.0369049209490306"
"6","3","3","30","50","90","70","50","50","50","0.5","2000","20","90.06741435149031","0","100","41.38032842171108","0","0","0","0","41.38032842171108","0.23187273091560898","3.0218259922844672"
"1","3","3","30","50","90","70","50","50","50","0.5","2000","20","75.484165117762","0","100","35.67448415299851","0","0","0","0","35.67448415299851","0.40310590153332776","10.535261429589847"
"7","3","3","30","50","90","70","50","50","50","0.5","2000","40","63.33249445917762","0","66.66666666666666","11.111111111120813","0","0","0","0","33.333333333333336","0.54834133511681","17.587489794764476"
"9","3","3","30","50","90","70","50","50","50","0.5","2000","40","91.20492769428616","0","100","10.71428571428545","0","0","0","0","10.71428571428545","0.21732852177786646","2.7767527992227863"
"5","3","3","30","50","90","70","50","50","50","0.5","2000","40","91.42282836774238","0","100","26.713947990543733","0","0","0","0","26.713947990543733","0.22305591173758013","2.871805918022039"
"3","3","3","30","50","90","70","50","50","50","0.5","2000","40","77.22042437825961","0","100","40.68718905472637","0","0","0","0","40.68718905472637","0.39470652067889805","10.381305734045782"
"6","3","3","30","50","90","70","50","50","50","0.5","2000","40","90.67831766266927","0","100","41.38032541211755","0","0","0","0","41.38032541211755","0.23096447013794408","3.005914337844119"
"2","3","3","30","50","90","70","50","50","50","0.5","2000","40","89.99884329474497","1","100","49.955334295334296","100","0","0","0","49.955334295334296","0.2339866308050813","3.05557016531998"
"8","3","3","30","50","90","70","50","50","50","0.5","2000","40","63.761097865281954","1","100","52.218293716397376","100","0","0","0","52.218293716397376","0.5555205045225015","17.70772960784397"
"1","3","3","30","50","90","70","50","50","50","0.5","2000","40","76.75634405276664","0","100","35.67448415320918","0","0","0","0","35.67448415320918","0.38852930820173565","10.276125421578264"
